web_pages,country,state-province,name,alpha_two_code,domains
['http://www.uabjo.mx/'],Mexico,,"Universidad Autónoma ""Benito Juárez"" de Oaxaca",MX,uabjo.mx
['http://www.uacam.mx/'],Mexico,,Universidad Autónoma de Campeche,MX,uacam.mx
['http://www.uach.mx/'],Mexico,,Universidad Autónoma de Chihuahua,MX,uach.mx
['http://itsncg.edu.mx/'],Mexico,,Instituto Tecnológico Superior de Nuevo Casas Grandes,MX,itsncg.edu.mx
['http://www.uacj.mx/'],Mexico,,Universidad Autónoma de Ciudad Juárez,MX,uacj.mx
['http://www.uacm.edu.mx/'],Mexico,,Universidad Autónoma de la Ciudad de México,MX,uacm.edu.mx
['http://www.uadec.mx/'],Mexico,,Universidad Autónoma de Coahuila,MX,uadec.mx
['http://www.uad.edu.mx/'],Mexico,,Universidad Autonoma de Durango,MX,uad.edu.mx
['http://www.uady.mx/'],Mexico,,Universidad Autónoma de Yucatán,MX,uady.mx
['http://www.uaed.edu.mx/'],Mexico,,Universidad Autonoma España de Durango,MX,uaed.edu.mx
['http://www.uaemex.mx/'],Mexico,,Universidad Autónoma del Estado de México,MX,uaemex.mx
['http://www.uaem.mx/'],Mexico,,Universidad Autónoma del Estado de Morelos,MX,uaem.mx
['http://www.uaf.mx/'],Mexico,,Universidad Autónoma de Fresnillo,MX,uaf.mx
['http://www.uag.mx/'],Mexico,,Universidad Autónoma de Guadalajara,MX,uag.mx
['http://www.uagro.mx/'],Mexico,,Universidad Autónoma de Guerrero,MX,uagro.mx
['http://www.ual.mx/'],Mexico,,Universidad Autónoma de la Laguna,MX,ual.mx
['http://www.uam.mx/'],Mexico,,Universidad Autónoma Metropolitana,MX,uam.mx
['http://www.uane.edu.mx/'],Mexico,,Universidad Autónoma del Noreste,MX,uane.edu.mx
['http://www.uanl.mx/'],Mexico,,Universidad Autónoma de Nuevo León,MX,uanl.mx
['http://www.uan.mx/'],Mexico,,Universidad Autónoma de Nayarit,MX,uan.mx
['http://www.uaq.mx/'],Mexico,,Universidad Autónoma de Querétaro,MX,uaq.mx
['http://www.uaslp.mx/'],Mexico,,Universidad Autónoma de San Luis Potosí,MX,uaslp.mx
['http://www.uas.mx/'],Mexico,,Universidad Anáhuac del Sur,MX,uas.mx
['http://www.uasnet.mx/'],Mexico,,Universidad Autónoma de Sinaloa,MX,uasnet.mx
['http://www.uat.mx/'],Mexico,,Universidad Autónoma de Tamaulipas,MX,uat.mx
['http://www.uatx.mx/'],Mexico,,Universidad Autónoma de Tlaxcala,MX,uatx.mx
['http://www.ubac.edu.mx/'],Mexico,,Universidad del Bajío,MX,ubac.edu.mx
['http://www.ucem.edu.mx/'],Mexico,,Universidad del Centro de México,MX,ucem.edu.mx
['http://www.uclah.edu.mx/'],Mexico,,Universidad Cientifica Latinoamericana de Hidalgo,MX,uclah.edu.mx
['http://www.ucol.mx/'],Mexico,,Universidad de Colima,MX,ucol.mx
['http://www.udec.edu.mx/'],Mexico,,Universidad de Celaya,MX,udec.edu.mx
['http://www.udeci.edu.mx/'],Mexico,,Universidad de Cuautitlan Izcalli,MX,udeci.edu.mx
['http://www.udeh.edu.mx/'],Mexico,,Universidad de Hermosillo,MX,udeh.edu.mx
['http://www.udem.edu.mx/'],Mexico,,Universidad de Monterrey,MX,udem.edu.mx
['http://www.udesanmiguel.edu.mx/'],Mexico,,Universidad de San Miguel,MX,udesanmiguel.edu.mx
['http://www.udg.mx/'],Mexico,,Universidad de Guadalajara,MX,udg.mx
['http://www.udla.mx/'],Mexico,,Universidad de las Américas,MX,udla.mx
['http://www.udlap.mx/'],Mexico,,Universidad de las Américas - Puebla,MX,udlap.mx
['http://www.udo.mx/'],Mexico,,Universidad de Occidente,MX,udo.mx
['http://www.udv.edu.mx/'],Mexico,,Universidad Don Vasco,MX,udv.edu.mx
['http://www.ufm.edu.mx/'],Mexico,,Universidad Franciscana de México,MX,ufm.edu.mx
['http://www.ufram.edu.mx/'],Mexico,,Universidad Franco-Mexicana,MX,ufram.edu.mx
['http://www.ugto.mx/'],Mexico,,Universidad de Guanajuato,MX,ugto.mx
['http://www.uia.mx/'],Mexico,,Universidad Iberoamericana,MX,uia.mx
['http://www.uic.edu.mx/'],Mexico,,Universidad Intercontinental,MX,uic.edu.mx
['http://www.uileon.edu.mx/'],Mexico,,Universidad Insurgentes Plantel León,MX,uileon.edu.mx
['http://www.ujat.mx/'],Mexico,,Universidad Juárez Autónoma de Tabasco,MX,ujat.mx
['http://www.ujed.mx/'],Mexico,,Universidad Juárez del Estado de Durango,MX,ujed.mx
['http://www.ujsierra.mx/'],Mexico,,Universidad Justo Sierra,MX,ujsierra.mx
['http://www.ula.edu.mx/'],Mexico,,Universidad Latinoamericana,MX,ula.edu.mx
['http://www.ulsab.edu.mx/'],Mexico,,Universidad Lasallista Benavente,MX,ulsab.edu.mx
['http://www.ulsac.edu.mx/'],Mexico,,Universidad La Salle Cuernavaca,MX,ulsac.edu.mx
['http://www.ulsa.edu.mx/'],Mexico,,Universidad La Salle,MX,ulsa.edu.mx
['http://www.umad.edu.mx/'],Mexico,,Universidad Madero,MX,umad.edu.mx
['http://www.uman.edu.mx/'],Mexico,,Universidad México Americana del Norte,MX,uman.edu.mx
['http://www.umar.mx/'],Mexico,,Universidad del Mar,MX,umar.mx
['http://www.umich.mx/'],Mexico,,Universidad Michoacana de San Nicolás de Hidalgo,MX,umich.mx
['http://www.umi.edu.mx/'],Mexico,,Universidad México Internacional,MX,umi.edu.mx
['http://www.umla.edu.mx/'],Mexico,,Universidad Metropolitana Latin Campus,MX,umla.edu.mx
['http://www.umm.edu.mx/'],Mexico,,Universidad Metropolitana de Monterrey,MX,umm.edu.mx
['http://www.umne.edu.mx/'],Mexico,,Universidad Mexicana del Noreste,MX,umne.edu.mx
['http://www.umontemorelos.edu.mx/'],Mexico,,Universidad de Montemorelos,MX,umontemorelos.edu.mx
['http://www.umsa.edu.mx/'],Mexico,,Universidad Mesoamericana de San Agustín,MX,umsa.edu.mx
['http://www.unacar.mx/'],Mexico,,Universidad Autónoma del Carmen,MX,unacar.mx
['http://www.unach.mx/'],Mexico,,Universidad Autónoma de Chiapas,MX,unach.mx
['http://www.unam.mx/'],Mexico,,Universidad Nacional Autónoma de México,MX,unam.mx
['http://www.un.edu.mx/'],Mexico,,Universidad del Norte,MX,un.edu.mx
['http://www.une.edu.mx/'],Mexico,,Universidad del Noreste,MX,une.edu.mx
['http://www.unes.edu.mx/'],Mexico,,Universidad España de Durango,MX,unes.edu.mx
['http://www.unicach.edu.mx/'],Mexico,,Universidad de Ciencias y Artes de Chiapas,MX,unicach.edu.mx
['http://www.unica.edu.mx/'],Mexico,,Universidad de Comunicación Avanzada,MX,unica.edu.mx
['http://www.unikino.mx/'],Mexico,,Universidad Kino,MX,unikino.mx
['http://www.unimayab.edu.mx/'],Mexico,,Universidad del Mayab,MX,unimayab.edu.mx
['http://www.unimex.edu.mx/'],Mexico,,Universidad Mexicana,MX,unimex.edu.mx
['http://www.unitec.mx/'],Mexico,,Universidad Tecnológica de México,MX,unitec.mx
['http://www.univa.mx/'],Mexico,,Universidad del Valle de Atemajac,MX,univa.mx
['http://www.univas.edu.mx/'],Mexico,,Universidad Jóse Vasconcelos,MX,univas.edu.mx
['http://www.univchapultepec.edu.mx/'],Mexico,,Universidad Chapultepéc,MX,univchapultepec.edu.mx
['http://www.universidaddeleon.edu.mx/'],Mexico,,Universidad de León,MX,universidaddeleon.edu.mx
['http://www.universidadlaconcordia.edu.mx/'],Mexico,,Universidad la Concordia,MX,universidadlaconcordia.edu.mx
['http://www.universidadmotolinia.edu.mx/'],Mexico,,Universidad Motolinía del Pedegral,MX,universidadmotolinia.edu.mx
