web_pages,country,state-province,name,alpha_two_code,domains
['http://www.universidadmotolinia.edu.mx/'],Mexico,Desconocido,Universidad Motolinía del Pedegral,MX,universidadmotolinia.edu.mx
['http://www.universidadsalesiana.edu.mx/'],Mexico,Desconocido,Universidad Salesiana,MX,universidadsalesiana.edu.mx
['http://www.univillarica.mx/'],Mexico,Desconocido,Universidad Autónoma de Veracruz Villa Rica,MX,univillarica.mx
['http://www.unla.edu.mx/'],Mexico,Desconocido,Universidad Latina,MX,unla.edu.mx
['http://www.un.mx/'],Mexico,Desconocido,Universidad de Norteamerica,MX,un.mx
['http://www.uno.mx/'],Mexico,Desconocido,Universidad del Noroeste,MX,uno.mx
['http://www.unum.edu.mx/'],Mexico,Desconocido,Universidad Nuevo Mundo,MX,unum.edu.mx
['http://www.uom.edu.mx/'],Mexico,Desconocido,Universidad Obrera de Mexico,MX,uom.edu.mx
['http://www.upaep.mx/'],Mexico,Desconocido,Universidad Popular Autonóma del Estado de Puebla,MX,upaep.mx
['http://www.upiig.ipn.mx/'],Mexico,Desconocido,"Instituto Politécnico Nacional, Campus Guanajuato",MX,upiig.ipn.mx
['http://www.up.mx/'],Mexico,Desconocido,Universidad Panamericana,MX,up.mx
['http://www.upn.mx/'],Mexico,Desconocido,Universidad Pedagógica Nacional,MX,upn.mx
['http://www.uqroo.mx/'],Mexico,Desconocido,Universidad de Quintana Roo,MX,uqroo.mx
['http://www.urmh.edu.mx/'],Mexico,Desconocido,Universidad Regional Miguel Hidalgo,MX,urmh.edu.mx
['http://www.ur.mx/'],Mexico,Desconocido,Universidad Regiomontana,MX,ur.mx
['http://www.urse.edu.mx/'],Mexico,Desconocido,Universidad Regional del Sureste,MX,urse.edu.mx
['http://www.usac.edu.mx/'],Mexico,Desconocido,Universidad de la Sierra A.C.,MX,usac.edu.mx
['http://www.usb.edu.mx/'],Mexico,Desconocido,Universidad Simón Bolivar,MX,usb.edu.mx
['http://www.usf.com.mx/'],Mexico,Desconocido,Universidad Santa Fe,MX,usf.com.mx
['http://www.uson.mx/'],Mexico,Desconocido,Universidad de Sonora,MX,uson.mx
['http://www.utm.mx/'],Mexico,Desconocido,Universidad Tecnologica de la Mixteca,MX,utm.mx
['http://www.utneza.edu.mx/'],Mexico,Desconocido,Universidad Tecnologica de Nezahualcoyotl,MX,utneza.edu.mx
['http://www.uvb.edu.mx/'],Mexico,Desconocido,Universidad del Valle del Bravo,MX,uvb.edu.mx
['http://www.uvg1.net/'],Mexico,Desconocido,Universidad Valle del Grijalva,MX,uvg1.net
['http://www.uvmnet.edu/'],Mexico,Desconocido,Universidad del Valle de México,MX,uvmnet.edu
['http://www.uv.mx/'],Mexico,Desconocido,Universidad Veracruzana,MX,uv.mx
['http://www.uvt.edu.mx/'],Mexico,Desconocido,Universidad del Valle de Toluca,MX,uvt.edu.mx
['http://www.uxac.edu.mx/'],Mexico,Desconocido,Universidad Xicotepetl,MX,uxac.edu.mx
['http://www.ver.ucc.mx/'],Mexico,Desconocido,Universidad Cristóbal Colón,MX,ver.ucc.mx
['http://www.westhill.edu.mx/'],Mexico,Desconocido,Westhill University,MX,westhill.edu.mx
['https://azc.uam.mx/'],Mexico,Desconocido,Universidad Autónoma Metropolitana - Azcapotzalco,MX,azc.uam.mx
['http://www.itsoeh.edu.mx/'],Mexico,Desconocido,Instituto Tecnológico de Occidente del Estado de Hidalgo,MX,itsoeh.edu.mx
['https://www.jefferson.edu.mx/'],Mexico,Desconocido,Universidad Internacional Jefferson,MX,jefferson.edu.mx
['https://ciqa.edu.mx'],Mexico,Desconocido,Centro de Investigación en Química Aplicada,MX,ciqa.edu.mx
['https://lamar.mx/'],Mexico,Desconocido,Universidad Guadalajara Lamar,MX,lamar.org.mx
['https://tecmilenio.mx/'],Mexico,Desconocido,Universidad Tecmilenio,MX,tecmilenio.mx
